序号,CAS号,UN号,中文名称,别名,"毒性a,b",燃烧爆炸特性,加压气体,其他危害c,介质与金属材料相容性提示d,反应和稳定性提示,危害提示,GHS健康和环境危害类别b,附加信息
11,152-16-9,3018,八甲基焦磷酰胺,八甲基焦磷酰胺;八甲磷;希拉登,I,-,-,-,-,"与强氧化剂、强酸等禁配物接触,有发生容器爆炸的危险。受热分解,放出氮、磷的氧化物等毒性气体。禁配物:强氧化剂、强酸。危险的分解产物:氮氧化物、氧化磷","吞咽致命,皮肤接触致命","急性毒性-经口,类别2*急性毒性-经皮,类别1危害水生环境-长期危害,类别3危害水生环境-急性危害,类别3",-
12,57-74-9,2996,"1,2,4,5,6,7,8,8-八氯-2,3,3a,4,7,7a-六氢-4,7-亚甲基茚",氯丹;八氯化茚,III / II,-,-,-,-,与强氧化剂等禁配物发生反应。禁配物:强氧化剂。危险的分解产物:氯化氢,皮肤接触会中毒,"急性毒性-经皮,类别3急性毒性-经口,类别4致癌性,类别2危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1",限
13,71-43-2,1114,苯,纯苯,-(II-密封性)/I,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酸类、卤素等。危险的分解产物：无资料,高度易燃液体，可能致癌，禁止催吐，强渗透性,皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2生殖细胞致突变性，类别1B致癌性，类别1A特异性靶器官毒性-反复接触，类别1吸入危害，类别1危害水生环境-急性危害，类别2危害水生环境-长期危害，类别3,G1
14,62-53-3,1547,苯胺,氨基苯；阿尼林油,III*/II,易爆介质,-,-,碱腐蚀、碱脆,与强氧化剂、酸类等禁配物发生反应。禁配物：强氧化剂、酸类、酰基氯、酸酐。危险的分解产物：无资料,吞咽会中毒，皮肤接触会中毒，吸入会中毒，造成严重眼损伤，可能引起皮肤过敏,急性毒性-经口，类别3*急性毒性-经皮，类别3*急性毒性-吸入，类别3*严重眼损伤/眼刺激，类别1皮肤致敏物，类别1生殖细胞致突变性，类别2特异性靶器官毒性-反复接触，类别1危害水生环境-急性危害，类别1危害水生环境-长期危害，类别2,限
15,50-32-8,3077,苯并(a)芘,"3,4-苯并芘",-(II-密封性)/I,--,--,--,-,与强氧化剂等禁配物发生反应。禁配物:强氧化剂。危险的分解产物:成分未知的黑色烟雾,"可能引起皮肤过敏,可能导致遗传性缺陷,可能致癌","皮肤腐蚀/刺激,类别3皮肤致敏物,类别1生殖细胞致突变性,类别1B致癌性,类别1A生殖毒性,类别1B特异性靶器官毒性-一次接触,类别2危害水生环境-急性危害,类别1危害水生环境-慢性危害,类别1",G1
16,95-54-5,1673,"1,2-苯二胺","邻苯二胺;1,2-二氨基苯",III*,--,--,--,-,"与强氧化剂、卤素、酸酐、金属等禁配物接触,有发生火灾和爆炸的危险。禁配物:强酸、强氧化剂、酸酐、酰基氯。危险的分解产物:氨","吞咽会中毒,可能引起皮肤过敏","急性毒性-经口,类别3*急性毒性-经皮,类别4急性毒性-吸入,类别4严重眼损伤/眼刺激,类别2皮肤致敏物,类别1生殖细胞致突变性,类别2危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1",-
17,108-45-2,1673,"1,3-苯二胺",间苯二胺；1，3-二氨基苯,III*,-,-,-,-,与强氧化剂、卤素、酸酐、金属等禁配物接触，有发生火灾和爆炸的危险。禁配物：强酸、强氧化剂、酸酐、酰基氯。危险的分解产物：氨,吞咽会中毒，皮肤接触会中毒，吸入会中毒，可能引起皮肤过敏,急性毒性-经口，类别3*急性毒性-经皮，类别3*急性毒性-吸入，类别3*严重眼损伤/眼刺激，类别2皮肤致敏物，类别1生殖细胞致突变性，类别2危害水生环境-急性危害，类别1危害水生环境-长期危害，类别1,-
18,106-50-3,1673,"1,4-苯二胺",对苯二胺；1，4-二氨基苯；乌尔丝D,III*,-,-,-,-,与强氧化剂等禁配物发生反应。禁配物：强氧化剂、酸类、酰基氯、酸酐、氯仿。危险的分解产物：无资料,吞咽会中毒，皮肤接触会中毒，吸入会中毒，可能引起皮肤过敏,急性毒性-经口，类别3*急性毒性-经皮，类别3*急性毒性-吸入，类别3*严重眼损伤/眼刺激，类别2皮肤致敏物，类别1危害水生环境-急性危害，类别1危害水生环境-长期危害，类别1,-
19,120-80-9,2811,"1,2-苯二酚",邻苯二酚；儿茶酚,IV,易爆介质,-,-,-,与强氧化剂等禁配物发生反应。禁配物：酰基氯、酸酐、碱、强氧化剂、强酸。危险的分解产物：无资料,-,急性毒性-经口，类别4急性毒性-经皮，类别4皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2致癌性，类别2危害水生环境-急性危害，类别2,-
20,108-46-3,2876,"1,3-苯二酚","间苯二酚；雷琐酚；雷锁辛；1,3-二羟基苯",IV,-,-,-,-,与强氧化剂等禁配物发生反应。禁配物：酰基氯、酸酐、碱、强氧化剂、强酸。危险的分解产物：无资料,-,急性毒性-经口，类别4皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2危害水生环境-急性危害，类别1,-
21,108-95-2,1671,苯酚,酚；石炭酸,III*/II,易爆介质,-,-,苯酚腐蚀,与强氧化剂、强酸等禁配物发生反应。禁配物：强氧化剂、强酸、强碱。危险的分解产物：无资料,吞咽会中毒，皮肤接触会中毒，吸入会中毒，可引起皮肤腐蚀,急性毒性-经口，类别3*急性毒性-经皮，类别3*急性毒性-吸入，类别3*皮肤腐蚀/刺激，类别1B严重眼损伤/眼刺激，类别1生殖细胞致突变性，类别2特异性靶器官毒性-反复接触，类别2危害水生环境-急性危害，类别2危害水生环境-长期危害，类别2,-
22,98-83-9,2303,2-苯基丙烯,异丙烯基苯；α-甲基苯乙烯,-,易爆介质；易燃液体，类别3,-,-,-,与强氧化剂、酸类、卤代烃、卤素等禁配物接触，有发生火灾和爆炸的危险。容易发生自聚反应。禁配物：强氧化剂、酸类、卤代烃、卤素。危险的分解产物：无资料,易燃液体,严重眼损伤/眼刺激，类别2特异性靶器官毒性-一次接触，类别3(呼吸道刺激)危害水生环境-急性危害，类别2危害水生环境-长期危害，类别2,-
23,100-66-3,2222,苯甲醚,茴香醚；甲氧基苯,-,易爆介质；易燃液体，类别3,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强酸、强氧化剂。危险的分解产物：无资料,易燃液体,危害水生环境-急性危害，类别3,-
24,100-52-7,1990,苯甲醛,苦杏仁油；安息香醛,IV,易爆介质；易燃液体，类别4,-,-,-,与强氧化剂等禁配物发生反应。禁配物：强酸、强氧化剂。危险的分解产物：一氧化碳,吞咽有害,急性毒性-经口，类别4急性毒性-经皮，类别4皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2B呼吸道致敏物，类别1皮肤致敏物，类别1特异性靶器官毒性-一次接触，类别3(呼吸道刺激)危害水生环境-急性危害，类别2,-
25,93-89-0,-,苯甲酸乙酯,安息香酸乙酯,IV,易爆介质,-,-,-,-,-,"急性毒性-经口,类别5危害水生环境-急性危害,类别2",-
26,98-88-4,1736,苯甲酰氯,氯化苯甲酰,IV,"易爆介质;易燃液体,类别4",-,-,低分子有机酸腐蚀、氯化物应力腐蚀开裂,与强氧化剂等禁配物发生反应。禁配物:强碱、强氧化剂、醇类、水。危险的分解产物:氯化氢、光气,"可引起皮肤腐蚀,可能引起皮肤过敏","急性毒性-经口,类别4急性毒性-经皮,类别4急性毒性-吸入,类别4皮肤腐蚀/刺激,类别1B严重眼损伤/眼刺激,类别1皮肤致敏物,类别1危害水生环境-急性危害,类别1",-
27,100-63-0,2572,苯肼,苯基联胺,III*,易爆介质,-,-,-,与强氧化剂等禁配物发生反应。禁配物:强氧化剂。危险的分解产物:无资料,"吞咽会中毒,皮肤接触会中毒,吸入会中毒,可能引起皮肤过敏","急性毒性-经口,类别3*急性毒性-经皮,类别3*急性毒性-吸入,类别3*皮肤腐蚀/刺激,类别2*严重眼损伤/眼刺激,类别2A皮肤致敏物,类别1生殖细胞致突变性,类别2特异性靶器官毒性-反复接触,类别1危害水生环境-急性危害,类别1",-
28,140-29-4,2470,苯乙腈,氰化苄;苄基氰,I,-,-,-,-,与强氧化剂等禁配物发生反应。禁配物:强氧化剂、强还原剂、强酸、强碱。危险的分解产物:无资料,"吞咽会中毒,皮肤接触会中毒,吸入致命","急性毒性-经口,类别3急性毒性-经皮,类别3急性毒性-吸入,类别1严重眼损伤/眼刺激,类别2特异性靶器官毒性-反复接触,类别1",-
29,100-42-5,2055,苯乙烯[稳定的],乙烯苯;乙烯基苯,IV/III,"易爆介质;易燃液体,类别3",-,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、酸类、卤素等。危险的分解产物:无资料",易燃液体,"急性毒性-吸入,类别4皮肤腐蚀/刺激,类别2严重眼损伤/眼刺激,类别2致癌性,类别2生殖毒性,类别2特异性靶器官毒性-反复接触,类别1危害水生环境-急性危害,类别2",-
30,110-86-1,1282,吡啶,氮杂苯；氮(杂)苯,IV/III,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。与硫酸、硝酸、铬酸、发烟硫酸、氯磺酸、顺丁烯二酸酐、高氯酸银等剧烈反应，有爆炸危险。禁配物：强氧化剂、氯仿、硫酸、硝酸、铬酸、发烟硫酸、氯磺酸、顺丁烯二酸酐、高氯酸银。危险的分解产物：氮氧化物,高度易燃液体,急性毒性-经口，类别4急性毒性-经皮，类别4急性毒性-吸入，类别4危害水生环境-急性危害，类别3,-
31,71-23-8,1274,1-丙醇,正丙醇,-,易爆介质；易燃液体，类别2,-,-,低分子有机酸腐蚀,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酸酐、酸类、卤素。危险的分解产物：无资料,高度易燃液体，造成严重眼损伤,严重眼损伤/眼刺激，类别1特异性靶器官毒性-一次接触，类别3(麻醉效应),-
32,67-63-0,1219,2-丙醇,异丙醇,-,易爆介质；易燃液体，类别2,-,-,低分子有机酸腐蚀,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酸酐、酸类、卤素。危险的分解产物：无资料,高度易燃液体,严重眼损伤/眼刺激，类别2特异性靶器官毒性一次接触，类别3(麻醉效应),-
33,78-90-0,2258,"1,2-丙二胺","1,2-氨基丙烷；丙邻二胺",IV,易爆介质；易燃液体，类别3,-,-,碱腐蚀、碱脆,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：酸类、酰基氯、酸酐、强氧化剂、二氧化碳。危险的分解产物：无资料,易燃液体，可引起皮肤腐蚀,急性毒性-经口，类别4急性毒性-经皮，类别4皮肤腐蚀/刺激，类别1A严重眼损伤/眼刺激，类别1,-
34,109-76-2,2922,"1,3-丙二胺","1,3-氨基丙烷",II,易爆介质；易燃液体，类别3,-,-,碱腐蚀、碱脆,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：酸类、酰基氯、酸酐、强氧化剂、二氧化碳。危险的分解产物：无资料,易燃液体，吞咽会中毒，皮肤接触会致命，可引起皮肤腐蚀,急性毒性-经口，类别3急性毒性-经皮，类别2皮肤腐蚀/刺激，类别1严重眼损伤/眼刺激，类别1,-
35,57-55-6,-,"1,2-丙二醇","1,2-二氨基丙烷",-,易爆介质,-,-,-,-,-,"皮肤腐蚀/刺激,类别3严重眼损伤/眼刺激,类别2B",-
36,463-49-0,2200,丙二烯[稳定的],-,-,"易爆介质;易燃气体,类别1",加压气体,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。容易发生聚合反应。禁配物:强氧化剂、强碱、铜、银、汞及其化合物。危险的分解产物:无资料","极易燃气体,内装加压气体;遇热可能爆炸;单纯性窒息","特异性靶器官毒性-一次接触,类别3(麻醉效应)",-
37,107-12-0,2404,丙腈,乙基氰,I,"易爆介质;易燃液体,类别2",-,-,低分子有机酸腐蚀,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强酸、强碱、强氧化剂、强还原剂。危险的分解产物:无资料","高度易燃液体,吞咽会致命,皮肤接触会致命,吸入致命","急性毒性-经口,类别2急性毒性-经皮,类别1急性毒性-吸入,类别2皮肤腐蚀/刺激,类别3严重眼损伤/眼刺激,类别2A",-
38,123-38-6,1275,丙醛,正丙醛,-,"易爆介质:易燃液体,类别2",-,-,低分子有机酸腐蚀,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。高热下可发生聚合。禁配物:强氧化剂、强碱、强还原剂、氧。危险的分解产物:无资料",高度易燃液体,"皮肤腐蚀/刺激,类别2严重眼损伤/眼刺激,类别2特异性靶器官毒性-一次接触,类别3(呼吸道刺激)危害水生环境-急性伤害,类别3",-
39,74-99-7,1954,丙炔,甲基乙炔,-,"易爆介质:易燃气体,类别1",加压气体,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。高热下易发生聚合。禁配物:强氧化剂、碱金属、碱土金属、重金属尤其是铜、重金属盐、卤素。危险的分解产物:无资料","极易燃气体,内装加压气体:遇热可能爆炸",-,-
40,79-09-4,1848,丙酸,-,-,易爆介质,-,-,低分子有机酸腐蚀,与强氧化剂等禁配物发生反应。禁配物:碱类、强氧化剂、强还原剂。危险的分解产物:无资料,可引起皮肤腐蚀,"皮肤腐蚀/刺激,类别1B严重眼损伤/眼刺激,类别1特异性靶器官毒性-一次接触,类别3(呼吸道刺激)危害水生环境-急性伤害,类别3",-
41,123-62-6,2496,丙酸酐,丙酐,-,易爆介质,-,-,低分子有机酸腐蚀,与强氧化剂、水、强碱等禁配物发生反应。禁配物:强氧化剂、水、强碱。危险的分解产物:无资料,可引起皮肤腐蚀,"皮肤腐蚀/刺激,类别1B严重眼损伤/眼刺激,类别1危害水生环境-急性伤害,类别3",-
42,554-12-1,1248,丙酸甲酯,-,IV,"易爆介质;易燃液体,类别2",-,-,低分子有机酸腐蚀,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、酸类。危险的分解产物:无资料",高度易燃液体,"急性毒性-吸入,类别4",-
43,105-37-3,1195,丙酸乙酯,-,-,"易爆介质;易燃液体,类别2",-,-,低分子有机酸腐蚀,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、碱类、酸类。危险的分解产物:无资料",高度易燃液体,"危害水生环境-急性伤害,类别3",-
44,67-64-1,1090,丙酮,二甲基酮;阿西通,-/IV,"易爆介质;易燃液体,类别2",-,-,低分子有机酸腐蚀,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、强还原剂、碱。危险的分解产物:无资料",高度易燃液体,"严重眼损伤/眼刺激,类别2特异性靶器官毒性-一次接触,类别3(麻醉效应)",-
45,75-86-5,1541,丙酮氰醇,丙酮合氰化氢;2-羟基异丁腈;氰丙醇,I,"易燃液体,类别4",-,-,-,"与强酸、强碱、强氧化剂等禁配物接触,有发生火灾和爆炸的危险。受热分解成氢氰酸及丙酮。禁配物:强酸、强碱、强氧化剂、强还原剂。危险的分解产物:氮氧化物、氰化氢、丙酮","吞咽致命,皮肤接触致命,吸入致命","急性毒性-经口,类别2*急性毒性-经皮,类别1急性毒性-吸入,类别2*危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1",-
46,74-98-6,1978,丙烷,-,-,"易爆介质;易燃气体,类别1",加压气体,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、强酸、强碱、卤素。危险的分解产物:无资料","极易燃气体,内装加压气体:遇热可能爆炸;单纯性窒息",-,-
47,115-07-1,1077,丙烯,甲基乙烯,-,易爆介质；易燃气体，类别1,加压气体,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。高热下易发生危险的聚合反应。禁配物：强氧化剂、强酸、二氧化氮、四氧化二氮、氧化二氮。危险的分解产物：无资料,极易燃气体，内装加压气体：遇热可能爆炸；单纯性窒息,-,-
48,107-18-6,1098,2-丙烯-1-醇,烯丙醇；蒜醇；乙烯甲醇,I,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有引起燃烧爆炸的危险。遇氯磺酸、硝酸、硫酸、氢氧化钠、亚磷酸二烯丙酯，可反应形成不稳定产物。禁配物：强氧化剂、碱金属、酸类。危险的分解产物：无资料,高度易燃液体，吞咽会中毒，皮肤接触会致命，吸入致命,急性毒性-经口，类别3急性毒性-经皮，类别1急性毒性-吸入，类别2皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2特异性靶器官毒性-一次接触，类别3（呼吸道刺激）危害水生环境-急性危害，类别1,限
49,107-13-1,1093,2-丙烯腈[稳定的],丙烯腈;乙烯基氰;氰基乙烯,III*/II,"易爆介质;易燃液体,类别2",-,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。高热下易发生聚合反应。禁配物:强氧化剂、酸类、碱类。危险的分解产物:氰化氢","高度易燃液体,吞咽会中毒,皮肤接触会中毒,吸入会中毒,造成严重眼损伤,可能引起皮肤过敏","急性毒性-经口,类别3*急性毒性-经皮,类别3急性毒性-吸入,类别3皮肤腐蚀/刺激,类别2严重眼损伤/眼刺激,类别1皮肤致敏物,类别1致癌性,类别2特异性靶器官毒性-一次接触,类别3(呼吸道刺激)危害水生环境-急性危害,类别2危害水生环境-长期危害,类别2",-
50,107-02-8,1092,丙烯醛[稳定的],烯丙醛；败脂醛,I,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。高热下发生聚合反应。在空气中久置后能生成有爆炸性的过氧化物。禁配物：强氧化剂、强还原剂、氧、酸类、碱类、氨、胺类、二氧化硫、硫脲、金属盐类等。危险的分解产物：无资料,高度易燃液体，吞咽致命，皮肤接触会中毒，吸入致命，可引起皮肤腐蚀,急性毒性-经口，类别2急性毒性-经皮，类别3急性毒性-吸入，类别1皮肤腐蚀/刺激，类别1B严重眼损伤/眼刺激，类别1危害水生环境-急性危害，类别1危害水生环境-长期危害，类别1,
51,79-10-7,2218,丙烯酸[稳定的],-,III,易爆介质；易燃液体，类别3,-,-,低分子有机酸腐蚀,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。高热可发生聚合反应。遇热、光、水分、过氧化物及铁质易自聚而引起爆炸。禁配物：强氧化剂、强碱。危险的分解产物：无资料,易燃液体，皮肤接触会中毒，吸入会中毒，可引起皮肤腐蚀,急性毒性-经口，类别4急性毒性-经皮，类别3急性毒性-吸入，类别3皮肤腐蚀/刺激，类别1A严重眼损伤/眼刺激，类别1特异性靶器官毒性-一次接触，类别3（呼吸道刺激）危害水生环境-急性危害，类别1,
52,96-33-3,1919,丙烯酸甲酯[稳定的],败脂酸甲酯,IV,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。容易发生自聚。禁配物：酸类、碱类、强氧化剂。危险的分解产物：无资料,高度易燃液体，可能引起皮肤过敏,急性毒性-经口，类别4急性毒性-经皮，类别4急性毒性-吸入，类别4皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2皮肤致敏物，类别1特异性靶器官毒性-一次接触，类别3(呼吸道刺激)危害水生环境-急性危害，类别2危害水生环境-长期危害，类别3,-
53,140-88-5,1917,丙烯酸乙酯[稳定的],-,IV,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。容易发生自聚，温度超过20℃，能聚合积热引起爆炸。禁配物：强氧化剂、酸类、碱类、过氧化物。危险的分解产物：无资料,高度易燃液体，可能引起皮肤过敏,急性毒性-经口，类别4急性毒性-经皮，类别4急性毒性-吸入，类别4皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2皮肤致敏物，类别1致癌性，类别2特异性靶器官毒性-一次接触，类别3(呼吸道刺激)危害水生环境-急性危害，类别2危害水生环境-长期危害，类别3,-
54,106-63-8,2527,丙烯酸异丁酯[稳定的],-,IV,易爆介质；易燃液体，类别3,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。容易发生自聚。禁配物：强氧化剂、强碱、强酸。危险的分解产物：无资料,易燃液体，可能引起皮肤过敏,急性毒性-经口，类别4急性毒性-经皮，类别4急性毒性-吸入，类别4皮肤腐蚀/刺激，类别2皮肤致敏物，类别1危害水生环境-急性危害，类别2危害水生环境-长期危害，类别3,-
55,141-32-2,2348,丙烯酸正丁酯[稳定的],丙烯酸丁酯,-(Ⅱ-密封性),易爆介质；易燃液体，类别3,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。容易发生自聚。禁配物：强氧化剂、强碱、强酸。危险的分解产物：无资料,易燃液体，可能引起皮肤过敏,皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2皮肤致敏物，类别1特异性靶器官毒性-一次接触，类别3(呼吸道刺激)危害水生环境-急性危害，类别2危害水生环境-长期危害，类别3,-
56,79-06-1,2074,丙烯酰胺,2-丙烯酰胺,III*/II,-,-,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。高热下可发生聚合。禁配物:强氧化剂、酸类、碱类。危险的分解产物:无资料","吞咽会中毒,可能引起皮肤过敏,可能致癌","急性毒性-经口,类别3*急性毒性-经皮,类别4急性毒性-吸入,类别4皮肤腐蚀/刺激,类别2严重眼损伤/眼刺激,类别2皮肤致敏物,类别1生殖细胞致突变性,类别1B致癌性,类别1B生殖毒性,类别2特异性靶器官毒性-反复接触,类别1危害水生环境-急性危害,类别3",-
57,10028-15-6,-,臭氧,-,I,-,-,"氧化性气体,类别1",氧化腐蚀,-,"可能导致或加剧燃烧,氧化剂,吸入致命","急性毒性-吸入,类别1皮肤腐蚀/刺激,类别1B严重眼损伤/眼刺激,类别1特异性靶器官毒性-反复接触,类别1危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1",-
58,94-75-7,3077,"2,4-滴","氰丙醇；2,4-二氯苯氧基乙酸",IV/III,-,-,-,氰氢酸致氢应力开裂,-,"造成严重眼损伤,可能引起皮肤过敏,可能致癌","急性毒性-经口,类别4急性毒性-经皮,类别5急性毒性-吸入,类别4皮肤腐蚀/刺激,类别3严重眼损伤/眼刺激,类别1皮肤致敏物,类别1致癌性,类别2生殖毒性,类别2特异性靶器官毒性-一次接触,类别3(呼吸道刺激)特异性靶器官毒性-一次接触,类别2(肝脏)危害水生环境-急性危害,类别1危害水生环境-长期危害,类别3",-
59,94-80-4,-,"2,4-滴丁酯","2,4-二氯苯氧基乙酸丁酯",IV/III,-,-,-,-,-,-,"急性毒性-经口,类别4",限
60,74-88-4,2644,碘甲烷,甲基碘,II,-,-,-,碘离子腐蚀,与强氧化剂等禁配物发生反应。禁配物:强氧化剂、强碱、亚氯酸银、钠、镁、锌等。危险的分解产物:碘化氢,"吞咽会中毒,皮肤接触会中毒,吸入致命","急性毒性-经口,类别3急性毒性-经皮,类别3急性毒性-吸入,类别2皮肤腐蚀/刺激,类别2特异性靶器官毒性-一次接触,类别3(呼吸道刺激)危害水生环境-急性危害,类别2危害水生环境-长期危害,类别3",-
61,78-92-2,1120,2-丁醇,仲丁醇,-,"易爆介质;易燃液体,类别3",-,-,低分子有机酸腐蚀,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:酸类、酰基氯、酸酐、强氧化剂、卤素。危险的分解产物:无资料",易燃液体,"严重眼损伤/眼刺激,类别2特异性靶器官毒性-一次接触,类别3(呼吸道刺激、麻醉效应)",
